7,7,7,7,38,7,7,44,41,38,7,7,7,38,7,41,48,41,12,12,12,12,12,12,
7,39,7,7,7,7,37,7,7,7,7,50,7,7,7,7,47,41,12,12,12,12,12,12,
7,42,7,3,1,1,1,1,1,1,1,1,1,1,1,4,7,41,12,12,12,12,12,12,
7,7,7,2,7,7,7,38,7,7,7,7,7,35,7,2,38,41,12,12,12,12,12,12,
1,4,7,2,40,46,7,7,7,7,7,7,7,33,7,2,7,41,12,12,12,12,12,12,
7,2,38,2,7,7,7,12,12,12,7,7,7,7,7,2,7,41,12,12,12,12,12,12,
37,2,7,5,1,1,1,12,12,12,1,1,1,4,7,2,7,41,12,12,12,12,12,12,
7,2,7,7,7,7,7,12,12,12,7,48,7,2,7,2,7,7,12,12,12,12,12,12,
7,2,7,36,7,7,7,7,7,7,7,47,7,2,7,5,1,1,1,12,12,12,12,12,
7,2,7,7,7,11,7,7,7,7,7,7,7,2,7,7,7,7,12,12,12,12,12,12,
7,5,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,41,12,12,12,12,12,12,
7,37,7,7,7,7,7,7,7,7,7,7,38,7,7,7,7,41,12,12,12,12,12,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
